date,전체,전체 4주 이동평균,한식 음식점업,외국식 음식점업,제과점업 등 기타 음식점업,주점업,전체_salesamount,전체 4주 이동평균_salesamount,한식 음식점업_salesamount,외국식 음식점업_salesamount,제과점업 등 기타 음식점업_salesamount,주점업_salesamount,전체_spendcount,전체 4주 이동평균_spendcount,남성,여성,20대 이하,30대 ,40대 ,50대 ,60대 ,70대 이상,전체_spendamount,전체 4주 이동평균_spendamount,남성_spendamount,여성_spendamount,20대 이하_spendamount,30대 _spendamount,40대 _spendamount,50대 _spendamount,60대 _spendamount,70대 이상_spendamount,year,month,week,season
2020-01-10,1.2,1.2,3.0,3.7,-0.4,4.3,0.5,0.5,2.0,2.5,-1.1,3.9,-0.6,-0.6,-1.3,-0.1,-0.9,-0.9,-0.5,2.0,3.4,4.1,-1.7,-1.7,-2.4,-1.1,-2.0,-2.0,-1.3,0.9,3.3,2.8,2020,1,2,winter
2020-01-17,1.3,1.3,3.1,5.4,-0.5,-0.3,0.7,0.6,2.5,4.4,-1.3,-1.0,0.7,0.0,0.1,1.1,0.3,0.3,1.2,3.1,2.7,3.7,0.0,-0.8,-0.5,0.5,-0.5,-0.1,0.4,2.1,2.1,5.1,2020,1,3,winter
2020-01-24,0.7,1.1,2.1,2.6,-0.7,-1.2,1.1,0.8,2.3,3.2,-0.4,-0.5,0.7,0.2,1.7,-0.3,-0.5,1.6,0.8,1.0,-0.6,-3.5,1.2,-0.1,2.4,0.3,0.1,2.1,1.3,1.5,0.5,-3.0,2020,1,4,winter
2020-01-31,-3.2,0.0,-8.1,-11.7,1.6,-2.8,-2.3,0.0,-6.7,-10.1,2.8,-2.4,-0.7,0.0,-0.6,-0.8,1.1,-1.0,-1.5,-6.1,-5.5,-4.2,0.4,0.0,0.5,0.3,2.4,0.0,-0.4,-4.6,-5.9,-4.9,2020,1,5,winter
2020-02-07,10.8,2.4,8.3,10.1,12.6,5.5,11.6,2.8,9.6,11.5,13.2,6.2,25.1,6.4,23.0,26.9,26.2,25.0,24.0,22.6,23.6,14.0,26.5,7.1,24.5,28.2,27.4,26.5,25.9,24.4,25.5,16.6,2020,2,6,winter
2020-02-14,10.6,4.7,8.8,10.0,11.8,7.1,11.3,5.4,9.6,11.6,12.4,7.9,26.4,12.9,25.1,27.4,26.9,25.3,28.0,24.9,24.8,21.6,27.6,13.9,26.1,28.9,27.7,26.6,29.7,27.0,26.8,23.2,2020,2,7,winter
2020-02-21,11.1,7.3,12.2,10.3,10.9,7.6,11.8,8.1,13.1,11.9,11.3,8.2,27.5,19.6,27.2,27.8,28.8,26.3,28.3,26.2,28.6,19.9,29.2,20.9,28.8,29.5,30.0,28.0,30.2,28.5,31.1,18.3,2020,2,8,winter
2020-02-28,24.8,14.3,24.2,18.6,26.1,20.1,28.0,15.7,28.7,24.3,28.4,23.0,43.9,30.7,42.0,45.5,45.6,41.4,45.2,46.2,43.1,41.9,49.0,33.1,47.1,50.7,50.0,46.2,51.9,53.7,51.0,47.5,2020,2,9,winter
2020-03-06,28.6,18.8,28.5,24.9,28.4,24.8,32.5,20.9,33.8,31.6,31.0,29.0,41.8,34.9,39.6,43.7,44.0,38.2,43.7,47.8,43.2,44.8,47.4,38.3,45.5,49.1,48.8,43.5,50.8,56.4,51.9,51.9,2020,3,10,spring
2020-03-13,29.0,23.4,28.6,28.3,28.6,26.3,32.5,26.2,33.5,35.0,30.4,30.0,44.1,39.3,42.2,45.8,46.0,40.0,47.5,50.1,45.9,48.7,48.8,43.6,46.7,50.5,49.5,44.2,54.2,57.9,54.4,57.3,2020,3,11,spring
